previous_crop,soil_pH,soil_type,temperature,humidity,rainfall,season,recommended_next_crop
Wheat,7.74,loamy,25.3,82.58,118.95,Kharif,Cotton
Papaya,6.45,clay,24.56,59.33,50.71,Rabi,Gram
Coriander,7.19,sandy_loam,27.66,53.27,92.06,Kharif,Cotton
Mustard,6.11,loamy,30.54,60.43,145.51,Kharif,Maize
Groundnut,6.68,silt_clay,21.61,53.77,59.5,Rabi,Gram
Wheat,7.17,loamy,32.37,80.2,71.67,Kharif,Cotton
Bhindi,6.11,clay,20.1,67.88,72.57,Rabi,Gram
Turmeric,5.5,sandy,19.67,54.99,71.99,Rabi,Gram
Garlic,7.03,loamy,30.27,63.11,119.39,Kharif,Maize
Turmeric,5.53,silt_clay,22.85,60.86,58.85,Rabi,Gram
Cotton,6.36,sandy_loam,17.3,54.11,46.61,Rabi,Gram
Tomato,6.86,sandy_loam,16.58,54.37,59.42,Rabi,Onion
Coconut,7.41,clay,27.29,68.56,240.13,Kharif,Rice
Maize,6.19,loamy,16.03,63.75,73.2,Rabi,Wheat
Groundnut,6.38,loamy,19.83,59.22,54.26,Rabi,Wheat
Gram,7.94,sandy_loam,31.42,60.44,112.65,Kharif,Cotton
Potato,5.66,clay,28.34,50.84,189.78,Kharif,Maize
Turmeric,6.29,sandy_loam,16.76,82.16,44.42,Rabi,Gram
Turmeric,7.4,loamy,23.57,75.66,77.35,Rabi,Mustard
Potato,6.73,clay,28.12,65.34,172.67,Kharif,Rice
Garlic,7.07,loamy,34.42,72.94,73.89,Kharif,Maize
Mango,7.42,silt_clay,15.65,63.59,45.83,Rabi,Wheat
Green Chilli,7.11,loamy,21.47,62.28,50.94,Rabi,Wheat
Papaya,7.11,sandy_loam,15.9,57.56,71.27,Rabi,Gram
Green Chilli,6.54,clay,19.24,82.05,59.92,Rabi,Gram
Coconut,7.48,sandy,26.73,77.49,172.53,Kharif,Rice
Potato,5.71,sandy,27.78,52.28,143.42,Kharif,Maize
Wheat,6.14,sandy_loam,25.45,51.27,77.57,Kharif,Groundnut
Tomato,7.03,clay,16.13,69.13,85.46,Rabi,Wheat
Groundnut,7.21,sandy_loam,22.16,73.43,59.08,Rabi,Wheat
Bhindi,6.27,silt_clay,24.4,61.75,61.2,Rabi,Mustard
Mango,6.83,clay,22.96,56.07,76.2,Rabi,Wheat
Mustard,6.63,silt_clay,25.29,71.63,150.95,Kharif,Rice
Groundnut,7.35,loamy,16.68,70.36,79.02,Rabi,Wheat
Brinjal,6.98,silt_clay,23.21,67.91,68.72,Rabi,Wheat
Brinjal,6.14,silt_clay,17.15,75.27,72.43,Rabi,Mustard
Coriander,7.46,loamy,27.86,59.76,86.43,Kharif,Maize
Coriander,6.82,sandy,33.2,81.63,65.91,Kharif,Cotton
Mustard,6.88,loamy,33.34,70.21,164.64,Kharif,Maize
Brinjal,6.61,sandy_loam,22.24,73.17,57.65,Rabi,Mustard
Mango,6.59,sandy,23.19,72.03,68.66,Rabi,Wheat
Garlic,7.02,clay,34.19,71.32,108.44,Kharif,Maize
Coriander,6.93,sandy,26.45,74.14,67.77,Kharif,Maize
Groundnut,7.33,sandy,21.48,57.33,45.8,Rabi,Gram
Papaya,7.27,loamy,19.33,81.69,63.05,Rabi,Gram
Green Chilli,6.52,sandy_loam,19.59,83.94,51.85,Rabi,Wheat
Mango,6.54,loamy,20.79,56.26,66.55,Rabi,Gram
Rice,7.18,loamy,22.58,66.07,247.0,Rabi,Wheat
Sugarcane,7.22,sandy,15.47,83.65,67.17,Rabi,Gram
Brinjal,7.45,loamy,19.95,60.88,60.15,Rabi,Mustard
Groundnut,7.26,silt_clay,18.27,65.3,51.18,Rabi,Gram
Wheat,6.36,silt_clay,31.42,71.25,104.67,Kharif,Maize
Banana,6.18,loamy,24.63,71.94,71.38,Rabi,Mustard
Banana,6.11,sandy,18.95,61.07,43.88,Rabi,Gram
Coriander,6.14,clay,30.77,53.02,81.53,Kharif,Maize
Papaya,7.47,clay,15.1,60.07,41.22,Rabi,Mustard
Rice,6.27,clay,27.61,69.64,215.65,Rabi,Mustard
Brinjal,6.92,clay,18.45,61.9,76.0,Rabi,Wheat
Green Chilli,6.18,sandy,15.42,73.9,52.3,Rabi,Gram
Rice,6.97,sandy_loam,20.2,61.27,131.72,Rabi,Gram
Wheat,7.59,silt_clay,26.2,84.1,52.0,Kharif,Gram
Ginger,5.95,sandy_loam,15.51,67.42,53.3,Rabi,Wheat
Potato,5.99,sandy_loam,22.12,67.45,135.0,Kharif,Maize
Papaya,6.48,silt_clay,17.37,74.24,71.19,Rabi,Mustard
Gram,7.57,sandy_loam,25.3,53.18,185.47,Kharif,Cotton
Garlic,6.6,silt_clay,31.34,80.11,119.02,Kharif,Cotton
Maize,7.44,clay,19.3,60.81,68.94,Rabi,Mustard
Sugarcane,6.42,sandy_loam,22.69,82.72,76.37,Rabi,Mustard
Rice,6.25,loamy,24.24,75.78,240.16,Rabi,Gram
Cotton,6.69,silt_clay,16.59,59.04,64.22,Rabi,Gram
Tomato,6.25,loamy,20.35,56.96,75.42,Rabi,Garlic
Maize,6.58,loamy,16.22,54.38,91.03,Rabi,Mustard
Banana,6.07,sandy,18.86,74.53,40.4,Rabi,Mustard
Coconut,7.09,sandy,24.09,52.35,200.29,Kharif,Rice
Papaya,6.08,sandy,19.22,58.87,72.73,Rabi,Mustard
Brinjal,7.16,silt_clay,18.34,84.72,44.11,Rabi,Wheat
Tomato,6.49,clay,16.12,62.17,93.82,Rabi,Garlic
Onion,6.14,loamy,26.36,72.06,78.07,Kharif,Maize
Coriander,6.6,silt_clay,28.16,70.28,81.89,Kharif,Cotton
Bhindi,6.35,sandy_loam,20.41,82.45,77.28,Rabi,Mustard
Garlic,6.79,sandy_loam,29.75,69.53,86.76,Kharif,Maize
Coconut,5.71,sandy,29.39,78.13,246.3,Kharif,Maize
Bhindi,6.47,clay,17.93,57.4,50.63,Rabi,Mustard
Sugarcane,6.34,silt_clay,16.43,55.3,57.31,Rabi,Gram
Cotton,6.67,sandy_loam,17.87,59.79,53.28,Rabi,Mustard
Garlic,6.11,loamy,33.81,68.82,111.43,Kharif,Cotton
Turmeric,6.28,loamy,24.47,81.08,70.77,Rabi,Gram
Gram,6.29,sandy,34.15,53.96,175.74,Kharif,Rice
Bhindi,6.98,sandy,21.92,81.9,60.06,Rabi,Mustard
Papaya,7.1,clay,18.12,82.25,61.46,Rabi,Gram
Wheat,7.06,clay,32.9,60.66,58.09,Kharif,Cotton
Maize,5.91,sandy,15.12,64.77,57.7,Rabi,Mustard
Papaya,6.3,clay,23.88,58.07,43.41,Rabi,Gram
Gram,7.67,sandy,29.73,80.71,104.03,Kharif,Cotton
Rice,7.33,sandy,20.05,71.98,129.14,Rabi,Groundnut
Papaya,6.26,silt_clay,20.49,77.57,66.33,Rabi,Gram
Mango,6.77,silt_clay,23.78,65.75,44.89,Rabi,Gram
Mustard,7.08,loamy,27.74,63.99,198.29,Kharif,Cotton
Maize,7.05,loamy,24.06,59.33,83.49,Rabi,Mustard
Mustard,7.51,sandy,26.69,56.56,101.06,Kharif,Maize
Groundnut,6.15,sandy,17.69,78.42,61.34,Rabi,Wheat
Potato,5.72,silt_clay,27.97,75.36,118.53,Kharif,Maize
Tomato,6.24,clay,15.21,62.72,76.57,Rabi,Onion
Banana,6.63,loamy,16.18,74.8,53.93,Rabi,Mustard
Sugarcane,6.71,clay,22.01,70.62,77.55,Rabi,Gram
Potato,5.91,sandy,27.95,61.37,102.54,Kharif,Rice
Cotton,7.77,silt_clay,18.07,69.13,56.69,Rabi,Wheat
Onion,6.39,loamy,29.18,77.25,104.06,Kharif,Maize
Mango,7.01,sandy_loam,24.64,80.77,65.78,Rabi,Wheat
Maize,7.19,sandy_loam,15.14,58.69,52.86,Rabi,Mustard
Banana,7.43,sandy,16.71,79.04,62.06,Rabi,Mustard
Groundnut,7.44,sandy_loam,16.76,52.26,63.11,Rabi,Gram
Tomato,6.6,clay,24.38,80.18,94.46,Rabi,Onion
Gram,6.84,sandy,26.5,52.3,172.94,Kharif,Rice
Wheat,6.81,silt_clay,25.72,51.07,75.77,Kharif,Gram
Groundnut,7.1,silt_clay,18.31,59.89,62.21,Rabi,Gram
Onion,6.12,clay,28.25,66.49,109.12,Kharif,Maize
Cotton,7.31,sandy_loam,23.53,68.96,70.33,Rabi,Wheat
Green Chilli,6.86,silt_clay,15.2,68.94,78.26,Rabi,Gram
Potato,6.09,clay,24.47,73.39,174.01,Kharif,Maize
Gram,7.27,sandy_loam,28.76,82.4,150.3,Kharif,Rice
Mustard,6.27,silt_clay,26.55,60.54,124.9,Kharif,Rice
Bhindi,7.31,sandy,19.29,80.27,67.79,Rabi,Mustard
Coconut,6.43,silt_clay,26.02,53.7,152.43,Kharif,Rice
Brinjal,7.41,sandy,17.34,75.76,40.31,Rabi,Wheat
Bhindi,7.29,loamy,15.9,60.03,78.89,Rabi,Mustard
Brinjal,6.84,sandy,21.0,62.25,57.76,Rabi,Mustard
Onion,7.02,loamy,25.48,50.04,96.01,Kharif,Cotton
Banana,7.19,silt_clay,21.96,70.52,65.32,Rabi,Mustard
Bhindi,6.94,clay,23.32,66.22,69.5,Rabi,Mustard
Turmeric,7.46,silt_clay,19.7,65.05,62.92,Rabi,Mustard
Bhindi,7.4,sandy_loam,23.48,76.31,57.99,Rabi,Mustard
Tomato,7.17,sandy_loam,24.58,79.91,61.52,Rabi,Wheat
Gram,7.23,silt_clay,31.56,63.38,128.18,Kharif,Cotton
Wheat,6.51,silt_clay,30.94,67.39,148.78,Kharif,Groundnut
Onion,6.05,sandy_loam,30.18,79.11,99.56,Kharif,Maize
Maize,7.43,loamy,15.59,50.11,78.41,Rabi,Mustard
Ginger,6.12,sandy_loam,15.74,78.54,65.88,Rabi,Mustard
Maize,6.28,silt_clay,15.38,54.48,85.93,Rabi,Mustard
Sugarcane,6.95,sandy_loam,24.16,62.59,52.28,Rabi,Mustard
Turmeric,6.95,silt_clay,15.19,84.9,44.89,Rabi,Mustard
Banana,6.37,loamy,17.34,79.05,67.18,Rabi,Mustard
Mango,6.74,sandy,22.15,62.93,56.93,Rabi,Gram
Rice,6.96,sandy,26.01,73.28,126.31,Rabi,Wheat
Turmeric,6.08,sandy,18.42,58.18,78.51,Rabi,Gram
Rice,6.77,loamy,21.39,79.22,247.66,Rabi,Gram
Cotton,6.62,clay,21.56,83.99,62.49,Rabi,Wheat
Groundnut,6.89,sandy,24.89,73.77,79.4,Rabi,Gram
Banana,6.25,sandy,16.64,59.95,69.72,Rabi,Gram
Brinjal,6.16,loamy,15.09,77.16,66.02,Rabi,Mustard
Mango,6.67,sandy,15.57,52.35,69.24,Rabi,Gram
Papaya,6.41,sandy_loam,19.03,83.82,69.21,Rabi,Gram
Coconut,7.43,silt_clay,30.96,70.84,232.49,Kharif,Rice
Coriander,6.46,clay,32.17,53.5,68.42,Kharif,Maize
Wheat,6.36,silt_clay,26.85,60.33,129.34,Kharif,Cotton
Brinjal,7.02,loamy,19.42,69.47,60.7,Rabi,Wheat
Garlic,7.26,sandy_loam,32.18,61.79,97.49,Kharif,Maize
Green Chilli,6.51,silt_clay,24.06,70.48,48.59,Rabi,Wheat
Brinjal,6.03,sandy_loam,16.34,60.13,66.5,Rabi,Mustard
Gram,6.13,sandy_loam,30.72,64.16,136.36,Kharif,Cotton
Groundnut,6.07,loamy,19.9,76.69,73.34,Rabi,Wheat
Bhindi,7.12,sandy,20.33,54.0,61.97,Rabi,Mustard
Potato,6.64,silt_clay,28.09,83.26,199.88,Kharif,Rice
Rice,5.7,loamy,20.18,80.52,239.82,Rabi,Groundnut
Groundnut,6.4,silt_clay,24.97,76.28,65.79,Rabi,Gram
Green Chilli,6.43,silt_clay,16.23,74.16,69.28,Rabi,Gram
Rice,6.0,loamy,24.98,64.66,237.23,Rabi,Wheat
