crop,soil_type,soil_pH,temperature,humidity,rainfall,season,N_dosage,P_dosage,K_dosage
Sugarcane,sandy_loam,7.71,17.67,85.9,112.53,Kharif,221.0,99.0,90.0
Cotton,clay,6.77,15.58,68.67,216.09,Rabi,104.0,62.0,50.0
Potato,sandy,5.35,22.14,67.25,110.14,Rabi,217.0,90.0,156.0
Sugarcane,clay,6.29,33.56,56.78,199.71,Rabi,220.0,114.0,81.0
Maize,clay,6.74,19.14,79.78,172.65,Kharif,126.0,62.0,48.0
Maize,sandy,7.15,27.29,42.35,224.61,Rabi,160.0,76.0,73.0
Maize,clay,5.89,16.34,84.79,185.28,Rabi,143.0,73.0,54.0
Potato,sandy,7.47,32.01,72.08,214.97,Rabi,215.0,89.0,134.0
Maize,clay,6.33,27.89,69.99,113.51,Kharif,120.0,70.0,51.0
Cotton,loamy,5.56,33.58,69.57,65.45,Kharif,114.0,54.0,59.0
Rice,loamy,7.48,29.67,78.47,42.32,Rabi,89.0,49.0,54.0
Potato,sandy_loam,7.75,26.51,46.75,154.98,Rabi,173.0,106.0,124.0
Cotton,loamy,6.09,20.14,77.55,111.33,Kharif,115.0,54.0,61.0
Maize,loamy,7.63,32.36,71.55,139.33,Kharif,163.0,64.0,56.0
Wheat,sandy_loam,6.5,18.21,57.03,108.04,Rabi,126.0,66.0,37.0
Rice,loamy,5.46,16.23,79.04,136.56,Rabi,100.0,54.0,52.0
Rice,sandy,7.04,29.8,51.91,119.32,Kharif,120.0,60.0,61.0
Wheat,clay,7.16,18.13,82.5,192.5,Kharif,124.0,60.0,36.0
Maize,sandy_loam,7.23,32.13,55.5,122.48,Kharif,139.0,68.0,52.0
Sugarcane,sandy_loam,5.35,22.4,55.38,98.64,Rabi,243.0,90.0,101.0
Maize,clay,5.92,17.55,67.28,220.17,Rabi,124.0,66.0,62.0
Sugarcane,sandy_loam,5.73,26.04,86.51,160.52,Kharif,274.0,87.0,106.0
Maize,sandy,7.37,24.51,66.83,201.94,Rabi,147.0,71.0,77.0
Wheat,sandy_loam,5.52,16.18,45.27,78.78,Rabi,109.0,59.0,35.0
Maize,clay,5.29,23.04,87.87,249.07,Rabi,134.0,69.0,46.0
Cotton,sandy,5.19,29.89,41.2,176.57,Kharif,115.0,69.0,68.0
Tomato,clay,7.75,15.2,59.66,218.45,Kharif,192.0,116.0,91.0
Cotton,loamy,5.84,19.07,54.05,158.56,Rabi,105.0,65.0,52.0
Cotton,clay,6.99,28.66,64.08,180.07,Kharif,107.0,55.0,57.0
Cotton,loamy,5.5,23.1,84.97,74.87,Rabi,134.0,56.0,55.0
Rice,loamy,6.19,17.65,68.38,184.79,Rabi,110.0,43.0,53.0
Wheat,sandy,5.65,34.35,75.76,241.0,Rabi,144.0,56.0,55.0
Tomato,clay,7.32,33.41,69.25,203.68,Rabi,195.0,129.0,87.0
Tomato,sandy_loam,6.02,22.74,80.81,86.75,Kharif,156.0,108.0,97.0
