Category,Name,Abbreviation,Type,Implementing Agency,Focus Area,Description/Benefits,Target Beneficiaries,Official URLs
Central Government Portal/Resource,Agriculture Infrastructure Fund Portal,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Online platform for AIF loans for post-harvest and agricultural infrastructure.,"Farmers, Officials, Researchers, General Public",https://agriinfra.dac.gov.in
Central Government Portal/Resource,Agriculture Inputs â Number of Dealers,,Digital Portal/Platform/Resource,Agriculture Inputs,Digital Infrastructure & Information Access,"Dataset on the number of agriculture input dealers (fertiliser, seed etc.), useful for mapping the input distribution network.","Farmers, Officials, Researchers, General Public",https://www.data.gov.in/catalog/agriculture-inputs
Central Government Portal/Resource,Department of Agriculture & Farmers Welfare (DA&FW),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Core department under MoAFW implementing crop schemes, missions and farmers' welfare programmes.","Farmers, Officials, Researchers, General Public",https://agriwelfare.gov.in
Central Government Portal/Resource,District-wise and Month-wise Queries of Farmers in Kisan Call Centre (KCC),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Catalog containing district-wise and month-wise queries raised by farmers to Kisan Call Centres and answers given, useful to study information needs and issues faced by farmers.","Farmers, Officials, Researchers, General Public",https://www.data.gov.in/catalog/district-wise-and-month-wise-queries-farmers-kisan-call-centre-kcc
Central Government Portal/Resource,"Farmers' Portal, Government of India",,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"One-stop portal for farmers to access information on crops, weather, prices, advisories and schemes.","Farmers, Officials, Researchers, General Public",https://farmer.gov.in
Central Government Portal/Resource,ICAR â KRISHI Portal,,Digital Portal/Platform/Resource,ICAR,Digital Infrastructure & Information Access,"ICAR's central repository for agricultural technologies, datasets, publications and learning resources.","Farmers, Officials, Researchers, General Public",https://krishi.icar.gov.in
Central Government Portal/Resource,ICAR-Indian Agricultural Statistics Research Institute (IASRI),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Resources on agricultural statistics, data systems, and ICAR data centre services.","Farmers, Officials, Researchers, General Public",https://iasri.res.in
Central Government Portal/Resource,Indian Council of Agricultural Research (ICAR) â About,,Digital Portal/Platform/Resource,Indian Council of Agricultural Research (ICAR),Digital Infrastructure & Information Access,"Overview of ICAR's mandate, research areas and institutional network.","Farmers, Officials, Researchers, General Public",https://www.indiascienceandtechnology.gov.in/organisations/ministry-and-departments/indian-council-agricultural-research-icar
Central Government Portal/Resource,Kisan Sarathi,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,ICT-based platform for interactive advisory between farmers and agricultural experts.,"Farmers, Officials, Researchers, General Public",https://kisansarathi.in
Central Government Portal/Resource,MANAGE â State Government Agriculture Schemes Index,,Digital Portal/Platform/Resource,MANAGE,Digital Infrastructure & Information Access,"Central index maintained by MANAGE listing documents and links on state-wise agriculture schemes for multiple states (Andhra Pradesh, Chhattisgarh, Jharkhand, Gujarat, Karnataka, Kerala, Maharashtra, Tamil Nadu etc.).","Farmers, Officials, Researchers, General Public",https://www.manage.gov.in/fpoacademy/SGSchemes/state-schemes.asp
Central Government Portal/Resource,Ministry of Agriculture & Farmers Welfare (MoAFW),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Apex ministry for agriculture policy, schemes, statistics and notifications in India.","Farmers, Officials, Researchers, General Public",https://agricoop.nic.in
Central Government Portal/Resource,Mission for Integrated Development of Horticulture (MIDH),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Mission portal for horticulture schemes, guidelines and state-wise programmes.","Farmers, Officials, Researchers, General Public",https://midh.gov.in
Central Government Portal/Resource,MoAFW Services List on India.gov.in,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Official India.gov.in listing of online services and applications under MoAFW.,"Farmers, Officials, Researchers, General Public",https://services.india.gov.in/service/ministry_services?cmd_id=11&ln=en
Central Government Portal/Resource,National Agriculture Market (e-NAM),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Pan-India electronic trading portal integrating APMC mandis for transparent price discovery.,"Farmers, Officials, Researchers, General Public",https://enam.gov.in
Central Government Portal/Resource,National Portal of India â Farming Services Section,,Digital Portal/Platform/Resource,National Portal of India,Digital Infrastructure & Information Access,Aggregated list of farmer-related online services and schemes across ministries and states.,"Farmers, Officials, Researchers, General Public",https://services.india.gov.in/service/listing?ln=en&cat_id=98
Central Government Portal/Resource,PM-KISAN Mobile App (Google Play),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Android app for farmers to check PM-KISAN status, update Aadhaar details and know scheme information.","Farmers, Officials, Researchers, General Public",https://play.google.com/store/apps/details?id=com.nic.project.pmkisan
Central Government Portal/Resource,PM-KISAN NIC Project Page,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Technical overview and features of PM-KISAN portal and mobile app by NIC.,"Farmers, Officials, Researchers, General Public",https://www.nic.gov.in/project/pm-kisan/
