Commodity,Category,Season,Duration_Days,Seed_Rate_kg_per_acre,Spacing_cm,Fertilizer_NPK_kg_per_acre,Irrigation_Number,Key_Operations,Harvest_Signs,Yield_kg_per_acre
Rice/Paddy,Cereals,Kharif/Rabi/Summer,120-150,"10-12 (transplant), 15-20 (direct)",20x15 or 20x20,80-20-40,15-20 irrigations,Nursery preparation|Puddling|Transplanting|Multiple weedings|Water management critical,Grains golden yellow|Moisture 20-22%|Hard grains,2500-3500
Wheat,Cereals,Rabi (Nov-Dec),120-150,40-50,20-23 cm rows,90-30-20,4-6 irrigations,Timely sowing critical|CRI irrigation mandatory|Rust monitoring,Grains hard|Golden yellow|Moisture 20-25%,2000-2500
Maize/Corn,Cereals,Kharif/Rabi/Summer,90-110,8-12,60x20 or 75x20,110-30-20,4-6 irrigations,Ridge-furrow method|Earthing up|Thinning at 15 DAS,Husk brown|Black layer at grain base|Moisture 20-25%,2500-3500
Bajra/Pearl Millet,Cereals,Kharif/Summer,70-90,4-7,45x15,80-20-0,2-3 or rainfed,Drought tolerant|Light irrigation|Downy mildew control,Grains hard|Ear head mature,1000-1500
Barley,Cereals,Rabi (Oct-Nov),110-130,35-40,22-23 cm rows,60-20-0,3-4 irrigations,Similar to wheat|More drought tolerant|Early sowing possible,Grains hard|Golden color,1500-2000
Sorghum/Jowar,Cereals,Kharif/Rabi,100-140,8-10,45x15,80-20-0,2-4 irrigations,Drought resistant|Thinning needed|Good for rainfed,Grains hard|Brown color,1000-1500
Pigeon Pea/Arhar/Tur,Pulses,Kharif (Jun-Jul),120-200,3-5,60x20 to 150x30 (duration based),8-20-10,2-4 (if available),Rhizobium inoculation|Mostly rainfed|Intercropping common|Wilt resistant varieties,Pods turn brown|Seeds hard|Multiple pickings,600-1000
Chickpea/Chana,Pulses,Rabi (Oct-Nov),110-130,30-40,30x10 or 45x10,8-20-10,1-2 light,Avoid waterlogging|Rhizobium treatment|Wilt monitoring,Leaves shed|80% pods brown|Seeds hard,800-1000
Black Gram/Urad,Pulses,Kharif/Summer,70-90,10-12,30x10,10-20-0,4-5 (summer) or rainfed,Rhizobium inoculation|YMV resistant varieties|Short duration,Pods black|80% pods mature,400-600
Green Gram/Moong,Pulses,Kharif/Summer/Rabi,60-75,8-10,30x10,10-20-0,3-4 or rainfed,Shortest duration pulse|YMV resistance|Multiple seasons,Pods turn brown-black|Multiple pickings,400-600
Lentil/Masoor,Pulses,Rabi (Oct-Nov),110-130,15-20,30x10,10-20-0,1-2 light,Cool weather crop|Rhizobium treatment|Rust monitoring,Plants dry|Pods rattle,400-600
Field Pea/Matar,Pulses,Rabi (Oct-Nov),120-140,30-40,30x10,10-20-10,2-3 irrigations,Support for tall varieties|Powdery mildew control,Pods dry|Seeds hard for grain type,800-1000
