N,P,K,temperature,humidity,pH,rainfall,crop,variety
119.43,55.89,53.35,26.63,79.64,6.5,101.59,Brinjal,Brinjal
91.9,48.95,51.79,30.85,89.97,6.06,165.09,Rice,Common
160.53,81.93,106.91,15.36,72.76,5.88,98.49,Potato,Potato
124.62,49.31,80.67,26.47,76.49,7.47,176.95,Turmeric(raw),Other
88.67,40.39,84.09,33.65,73.89,6.92,111.39,Mango(Raw-Ripe),Other
94.79,44.56,43.77,16.2,60.59,7.46,52.23,Onion,Local
23.29,45.65,26.2,20.59,65.82,7.09,90.43,Arhar Dal(Tur Dal),Arhar Dal(Tur)
111.5,47.24,46.68,29.43,76.44,6.07,254.0,Rice,Common
147.12,51.24,63.39,24.11,68.97,7.36,103.53,Maize,Hybrid/Local
104.06,65.83,54.1,22.71,62.25,7.44,67.42,Maize,Hybrid/Local
98.49,41.34,44.31,27.24,70.02,6.69,120.18,Paddy(Basmati),Basmati
66.04,39.83,82.02,26.31,53.12,6.95,88.17,Grapes,Other
97.34,48.72,55.42,28.28,66.98,7.49,89.44,Pumpkin,Pumpkin
42.14,27.02,102.28,31.0,87.96,6.77,192.41,Coconut,Coconut
34.13,52.22,36.56,24.06,63.09,7.04,65.47,Arhar Dal(Tur Dal),Arhar Dal(Tur)
28.8,52.37,49.8,23.2,61.52,6.79,91.3,Soyabean,Local
208.55,67.85,241.41,28.53,78.26,6.33,220.95,Banana,Other
106.7,40.1,47.94,26.11,63.79,7.47,99.74,Green Chilli,Green Chilly
92.05,48.63,90.78,33.97,49.32,6.55,113.54,Mango(Raw-Ripe),Other
66.46,34.56,30.59,19.03,54.08,6.72,65.57,Mustard,Mustard
88.15,48.77,52.1,22.42,64.07,7.68,69.26,Wheat,Local
97.5,49.0,47.18,34.24,66.23,6.81,72.75,Bhindi(Ladies Finger),Bhindi
97.1,43.21,107.78,33.32,53.44,7.33,138.71,Mango(Raw-Ripe),Other
148.12,61.79,55.76,20.66,78.4,7.08,68.31,Cabbage,Cabbage
99.91,41.79,75.73,17.42,67.35,6.34,90.15,Grapes,Other
23.08,43.44,35.44,22.53,41.21,7.69,34.08,Bengal Gram(Gram)(Whole),Desi (Whole)
133.33,50.76,57.35,26.12,55.44,6.43,109.51,Cotton,Other
28.28,47.71,21.32,25.45,64.44,7.04,71.25,Green Gram Dal(Moong Dal),Green Gram Dal
143.54,68.99,50.99,21.09,63.59,6.32,79.45,Cauliflower,Cauliflower
65.41,43.3,41.17,27.43,76.52,6.88,57.0,Bhindi(Ladies Finger),Bhindi
103.41,62.29,54.86,15.49,66.16,6.88,98.92,Cauliflower,Cauliflower
140.38,68.41,58.99,25.27,58.56,6.5,116.43,Maize,Hybrid/Local
115.03,51.98,51.1,23.73,69.11,7.04,69.47,Green Chilli,Green Chilly
134.75,67.73,55.21,21.17,78.97,6.67,53.38,Cabbage,Cabbage
99.14,51.68,107.09,27.62,75.89,6.38,126.85,Ginger(Green),Green Ginger
23.08,51.93,38.78,20.74,41.38,7.83,77.12,Bengal Gram(Gram)(Whole),Desi (Whole)
131.41,58.53,118.63,23.45,69.98,7.28,178.62,Turmeric(raw),Other
97.35,33.96,37.22,21.57,84.14,6.31,164.05,Paddy(Basmati),Basmati
143.79,91.48,118.64,19.03,78.51,5.87,90.79,Potato,Potato
85.51,43.26,86.86,29.42,61.23,6.77,66.95,Grapes,Other
212.36,125.54,236.52,28.83,73.08,6.53,123.78,Papaya,Papaya
242.05,71.93,97.34,31.79,72.12,7.02,239.62,Sugarcane,Other
144.44,82.58,103.15,20.46,67.24,5.73,63.52,Potato,Potato
111.93,50.32,54.06,33.2,57.24,7.57,81.05,Cotton,Other
27.85,43.1,32.99,25.65,55.94,7.18,58.84,Groundnut,Local
93.38,40.07,42.04,23.9,60.92,7.47,52.73,Garlic,Garlic
64.39,37.65,30.77,28.13,68.59,6.18,172.88,Paddy(Basmati),Basmati
103.17,44.17,46.51,27.74,60.63,6.29,104.21,Cotton,Other
72.86,49.8,31.23,24.77,67.92,6.91,79.42,Mustard,Mustard
91.16,40.23,90.74,25.97,56.49,6.55,112.62,Mango(Raw-Ripe),Other
103.42,51.63,57.01,18.74,58.6,6.68,65.26,Wheat,Local
67.71,49.93,49.16,27.93,69.19,6.64,52.47,Pumpkin,Pumpkin
43.93,39.38,33.23,24.25,54.26,6.93,53.16,Coriander(Leaves),Coriander
105.78,41.4,40.65,21.18,67.32,6.61,65.2,Wheat,Local
94.2,30.55,88.18,26.13,59.5,7.43,52.62,Grapes,Other
37.24,46.8,22.35,18.53,55.19,7.05,48.68,Bengal Gram(Gram)(Whole),Desi (Whole)
92.12,46.9,90.13,26.64,64.6,5.78,151.2,Ginger(Green),Green Ginger
42.09,38.43,78.32,19.56,67.76,5.64,114.05,Apple,Apple
26.79,34.95,24.1,31.25,73.42,7.25,68.88,Green Gram Dal(Moong Dal),Green Gram Dal
114.82,40.61,57.91,23.0,87.3,6.87,265.58,Rice,Common
177.76,78.04,81.74,23.37,65.92,6.26,174.6,Sugarcane,Other
111.91,66.48,66.84,16.46,74.33,6.37,61.7,Cauliflower,Cauliflower
69.92,57.98,45.39,20.43,61.2,7.23,92.3,Pumpkin,Pumpkin
24.37,37.83,16.75,28.13,57.17,7.2,63.42,Green Gram Dal(Moong Dal),Green Gram Dal
32.65,47.85,25.15,22.37,43.57,7.98,78.46,Bengal Gram(Gram)(Whole),Desi (Whole)
67.16,25.92,118.02,31.3,81.23,5.64,189.41,Coconut,Coconut
109.41,42.64,114.5,21.74,78.65,6.49,141.45,Ginger(Green),Green Ginger
104.13,59.61,44.88,19.53,62.64,7.19,89.4,Onion,Local
70.19,53.58,42.42,18.05,55.04,6.47,99.32,Garlic,Garlic
97.6,44.86,40.02,16.94,55.66,6.36,96.72,Garlic,Garlic
107.83,40.16,42.08,19.8,67.18,6.13,71.14,Onion,Local
80.88,49.55,54.4,25.43,65.43,6.39,106.41,Brinjal,Brinjal
106.68,67.57,69.74,17.86,73.82,7.23,94.98,Cabbage,Cabbage
62.95,22.5,75.59,18.31,70.04,6.18,109.16,Apple,Apple
77.57,24.61,79.86,17.16,64.36,6.32,94.14,Apple,Apple
98.06,44.03,50.64,23.66,62.94,6.92,79.24,Garlic,Garlic
119.31,55.04,50.42,26.62,71.35,6.43,257.94,Rice,Common
78.24,32.21,32.17,16.49,64.7,7.5,43.35,Mustard,Mustard
53.48,29.31,33.2,18.25,54.53,6.17,76.85,Coriander(Leaves),Coriander
