Scheme Name,Center/State Name,Scheme Details,Website Link,Phone,Email,Commodity Name,Responsible Ministry/Department,Implementing Office/Agency,Office Address (HQ),Address Source/Notes
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Rice. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Rice,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Wheat. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Wheat,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Maize. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Maize,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Bajra. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Bajra,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Barley. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Barley,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Cereals,Central Government,"Aims to increase production of cereals through area expansion and productivity enhancement in sustainable manner. Provides seed distribution subsidies, IPM, INM, and mechanization support. Coverage/commodity focus: Sorghum. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Sorghum,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Pigeon Pea. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Pigeon Pea,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Chickpea. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Chickpea,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Black Gram. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Black Gram,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Green Gram. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Green Gram,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
